tur_id,player_hand_val,player_hand_type,dealer_up,true_count,action,sonuc
0,19,Hard,K,-0.17,stand,kazandi
0,14,Hard,K,-0.17,hit,kazandi
0,15,Soft,K,-0.34,hit,
0,21,Soft,K,-0.17,stand,
1,17,Soft,J,-0.34,stand,kaybetti
1,16,Hard,J,-0.34,hit,kaybetti
2,16,Hard,6,0.34,stand,kaybetti
2,11,Hard,6,0.34,double,kaybetti
3,17,Hard,5,0.17,stand,kazandi
3,15,Soft,5,0.17,stand,kazandi
4,19,Hard,7,-0.17,stand,kazandi
4,11,Hard,7,-0.17,double,kaybetti
5,13,Hard,5,0.51,stand,kaybetti
5,16,Hard,5,0.51,stand,kaybetti
6,20,Hard,8,-0.17,stand,kazandi
6,12,Hard,8,-0.17,hit,kaybetti
6,17,Hard,8,0.0,stand,
7,10,Hard,J,0.51,hit,kazandi
7,21,Soft,J,0.34,stand,kazandi
7,6,Hard,J,0.34,hit,
7,11,Hard,J,0.51,hit,
7,16,Hard,J,0.69,stand,
8,12,Hard,5,0.68,stand,kaybetti
8,12,Hard,5,0.68,stand,kaybetti
9,18,Hard,K,-0.68,stand,kaybetti
9,18,Hard,K,-0.68,stand,kaybetti
10,15,Hard,2,-0.34,stand,kazandi
10,21,Soft,2,-0.34,stand,kazandi
11,18,Hard,5,0.0,stand,kazandi
11,12,Hard,5,0.0,stand,kazandi
12,20,Hard,3,-0.17,stand,kaybetti
12,13,Hard,3,-0.17,stand,kaybetti
13,13,Hard,6,0.34,stand,kaybetti
13,12,Hard,6,0.34,stand,kaybetti
14,9,Hard,Q,0.34,hit,kaybetti
14,13,Hard,Q,0.51,hit,kazandi
14,16,Hard,Q,0.68,stand,
14,14,Hard,Q,0.68,hit,
14,20,Hard,Q,0.86,stand,
15,17,Hard,K,0.0,stand,kaybetti
15,6,Hard,K,0.0,hit,kaybetti
15,17,Soft,K,-0.17,stand,
16,20,Soft,5,-0.17,stand,kazandi
16,14,Hard,5,-0.17,stand,kaybetti
17,6,Hard,5,0.34,hit,kazandi
17,17,Soft,5,0.17,stand,kazandi
17,19,Soft,5,0.17,stand,
18,19,Hard,10,-0.51,stand,kaybetti
18,13,Hard,10,-0.51,hit,kazandi
18,21,Hard,10,-0.51,stand,
19,12,Hard,A,-0.34,hit,kaybetti
19,16,Hard,A,-0.17,hit,kaybetti
19,20,Hard,A,0.0,stand,
20,8,Hard,J,0.17,hit,kazandi
20,18,Hard,J,0.0,stand,kazandi
20,17,Hard,J,0.0,stand,
21,6,Hard,7,0.85,hit,kaybetti
21,16,Hard,7,0.68,hit,kaybetti
21,12,Hard,7,0.68,hit,
21,14,Hard,7,0.86,hit,
21,15,Soft,7,0.69,hit,
22,15,Soft,8,-0.34,hit,kazandi
22,20,Soft,8,-0.17,stand,kazandi
22,20,Hard,8,-0.17,stand,
23,16,Soft,2,0.0,stand,kaybetti
23,15,Hard,2,0.0,stand,kaybetti
24,14,Hard,J,-0.17,hit,kaybetti
24,19,Hard,J,-0.34,stand,kaybetti
25,13,Hard,4,0.85,stand,kazandi
25,10,Hard,4,0.85,double,kazandi
26,12,Hard,Q,0.0,hit,kaybetti
26,12,Hard,Q,-0.17,hit,kaybetti
27,13,Hard,10,-0.51,hit,kaybetti
27,14,Soft,10,-0.68,hit,kaybetti
27,19,Soft,10,-0.51,stand,
27,19,Hard,10,-0.51,stand,
28,5,Hard,8,0.68,hit,kaybetti
28,15,Hard,8,0.51,hit,kazandi
28,12,Hard,8,0.34,hit,
28,21,Hard,8,0.34,stand,
29,15,Soft,A,-0.34,hit,kazandi
29,21,Soft,A,-0.17,stand,kazandi
29,20,Hard,A,-0.17,stand,
30,13,Soft,10,-0.17,hit,kazandi
30,18,Soft,10,0.0,stand,kazandi
30,18,Hard,10,0.0,stand,
31,14,Hard,5,0.17,stand,kazandi
31,12,Hard,5,0.17,stand,kazandi
32,15,Hard,J,0.0,hit,kaybetti
32,11,Hard,J,-0.17,hit,kaybetti
32,13,Hard,J,0.0,hit,
33,17,Hard,2,0.0,stand,kazandi
33,21,Soft,2,0.0,stand,kazandi
34,20,Soft,9,0.17,stand,kazandi
34,13,Hard,9,0.17,hit,kazandi
34,20,Hard,9,0.17,stand,
35,11,Hard,3,0.68,double,kazandi
35,13,Soft,3,0.51,stand,kazandi
36,15,Hard,6,0.51,stand,kazandi
36,10,Hard,6,0.51,double,kazandi
37,17,Hard,A,-0.34,stand,push
37,12,Soft,A,-0.34,hit,push
37,13,Soft,A,-0.51,hit,
37,17,Soft,A,-0.34,stand,
38,18,Hard,10,-0.34,stand,push
38,15,Hard,10,-0.34,hit,kaybetti
39,8,Hard,Q,0.17,hit,kazandi
39,18,Hard,Q,0.0,stand,kaybetti
39,15,Hard,Q,0.0,hit,
40,6,Hard,9,0.17,hit,kaybetti
40,16,Hard,9,0.0,hit,kaybetti
40,13,Hard,9,0.0,hit,
41,14,Hard,8,0.17,hit,kaybetti
41,10,Hard,8,0.17,double,kazandi
42,20,Hard,6,-0.17,stand,kazandi
42,10,Hard,6,-0.17,double,kazandi
43,13,Hard,J,0.0,hit,kazandi
43,15,Hard,J,0.17,hit,push
43,19,Hard,J,0.34,stand,
43,14,Soft,J,0.34,hit,
43,12,Soft,J,0.34,hit,
43,17,Soft,J,0.52,stand,
44,10,Hard,9,0.51,double,kaybetti
44,7,Hard,9,0.68,hit,kaybetti
44,12,Hard,9,0.86,hit,
44,14,Hard,9,1.03,hit,
45,11,Hard,K,-0.17,hit,kazandi
45,12,Soft,K,-0.34,hit,kazandi
45,20,Soft,K,-0.34,stand,
45,21,Soft,K,-0.34,stand,
46,17,Hard,J,-0.34,stand,kaybetti
46,15,Hard,J,-0.34,hit,kaybetti
46,19,Hard,J,-0.17,stand,
47,15,Hard,3,-0.17,stand,kaybetti
47,20,Hard,3,-0.17,stand,kaybetti
48,13,Hard,4,0.51,stand,kazandi
48,12,Hard,4,0.51,stand,kazandi
49,12,Hard,Q,0.34,hit,kaybetti
49,17,Hard,Q,0.51,stand,kazandi
49,7,Hard,Q,0.51,hit,
49,12,Hard,Q,0.68,hit,
49,21,Hard,Q,0.69,stand,
50,12,Hard,5,-0.34,stand,kaybetti
50,21,Soft,5,-0.34,stand,kazandi
51,20,Hard,K,-0.85,stand,push
51,18,Soft,K,-0.85,stand,kaybetti
52,11,Hard,7,0.34,double,kazandi
52,11,Hard,7,0.34,double,kaybetti
53,21,Soft,5,-0.34,stand,kazandi
53,15,Soft,5,-0.34,stand,kazandi
54,21,Soft,6,0.34,stand,kazandi
54,11,Hard,6,0.34,double,kazandi
55,20,Hard,Q,-0.34,stand,kazandi
55,15,Hard,Q,-0.34,hit,kaybetti
56,10,Hard,4,0.68,double,kaybetti
56,6,Hard,4,0.85,hit,kaybetti
56,16,Hard,4,0.68,stand,
57,14,Hard,8,0.34,hit,kazandi
57,21,Hard,8,0.34,stand,kazandi
57,15,Hard,8,0.34,hit,
57,21,Hard,8,0.51,stand,
58,7,Hard,3,0.51,hit,kazandi
58,17,Hard,3,0.34,stand,kazandi
58,12,Hard,3,0.34,stand,
59,20,Soft,3,0.0,stand,kazandi
59,14,Hard,3,0.0,stand,kazandi
60,11,Hard,10,0.68,hit,kazandi
60,21,Hard,10,0.51,stand,kaybetti
60,9,Hard,10,0.51,hit,
60,19,Hard,10,0.34,stand,
61,10,Hard,8,0.17,double,kazandi
61,14,Hard,8,0.17,hit,kaybetti
62,21,Soft,2,-0.51,stand,kazandi
62,20,Hard,2,-0.51,stand,kazandi
63,10,Hard,A,0.34,hit,kazandi
63,20,Hard,A,0.17,stand,kazandi
63,13,Hard,A,0.17,hit,
63,20,Hard,A,0.17,stand,
64,14,Hard,Q,0.0,hit,kaybetti
64,15,Soft,Q,-0.17,hit,kazandi
64,16,Soft,Q,-0.34,hit,
64,14,Hard,Q,-0.51,hit,
64,17,Hard,Q,-0.34,stand,
65,17,Hard,3,0.0,stand,kaybetti
65,14,Hard,3,0.0,stand,kaybetti
66,11,Hard,2,0.51,double,kaybetti
66,13,Hard,2,0.68,stand,kaybetti
67,18,Soft,5,-0.34,stand,kazandi
67,17,Hard,5,-0.34,stand,kazandi
68,19,Soft,A,-0.17,stand,kazandi
68,12,Hard,A,-0.17,hit,kazandi
68,21,Hard,A,-0.17,stand,
69,17,Hard,J,-0.68,stand,kaybetti
69,20,Soft,J,-0.68,stand,push
70,15,Hard,6,0.0,stand,kazandi
70,20,Soft,6,0.0,stand,kazandi
71,16,Hard,8,0.17,hit,kaybetti
71,15,Hard,8,0.0,hit,kaybetti
72,20,Hard,9,-0.51,stand,kazandi
72,21,Soft,9,-0.51,stand,kazandi
73,13,Hard,10,0.0,hit,kaybetti
73,15,Hard,10,0.17,hit,kaybetti
73,16,Hard,10,0.0,stand,
74,21,Soft,5,-0.51,stand,kazandi
74,20,Hard,5,-0.51,stand,kazandi
75,14,Hard,K,-0.68,hit,kaybetti
75,20,Hard,K,-0.85,stand,push
76,14,Hard,10,-0.34,hit,kaybetti
76,18,Hard,10,-0.51,stand,kazandi
77,13,Hard,K,-0.17,hit,kaybetti
77,18,Hard,K,-0.34,stand,kazandi
78,18,Hard,4,0.51,stand,kazandi
78,10,Hard,4,0.51,double,kazandi
79,20,Hard,9,-0.68,stand,kazandi
79,21,Soft,9,-0.68,stand,kazandi
80,18,Hard,Q,-0.17,stand,kaybetti
80,11,Hard,Q,-0.17,hit,kaybetti
80,15,Hard,Q,0.0,hit,
81,14,Hard,J,-0.34,hit,kaybetti
81,20,Hard,J,-0.34,stand,kazandi
82,14,Hard,6,0.68,stand,kaybetti
82,11,Hard,6,0.68,double,kaybetti
83,20,Hard,6,-0.68,stand,kazandi
83,20,Hard,6,-0.68,stand,kazandi
84,20,Hard,7,-0.34,stand,kazandi
84,16,Soft,7,-0.34,hit,kaybetti
84,12,Soft,7,-0.17,hit,
85,7,Hard,A,0.17,hit,kazandi
85,17,Hard,A,0.0,stand,kazandi
85,17,Hard,A,0.0,stand,
86,17,Hard,Q,-0.68,stand,kaybetti
86,20,Hard,Q,-0.68,stand,push
87,13,Hard,3,0.0,stand,kazandi
87,16,Hard,3,0.0,stand,kazandi
88,19,Hard,A,-0.17,stand,kaybetti
88,12,Hard,A,-0.17,hit,kaybetti
89,12,Hard,2,0.68,stand,kaybetti
89,12,Hard,2,0.68,stand,kaybetti
90,20,Hard,A,-0.85,stand,kaybetti
90,18,Hard,A,-0.85,stand,kaybetti
91,18,Hard,3,0.68,stand,kazandi
91,8,Hard,3,0.68,hit,kazandi
91,16,Hard,3,0.68,stand,
92,9,Hard,9,0.85,double,kaybetti
92,10,Hard,9,1.02,double,push
93,12,Hard,2,0.34,stand,kaybetti
93,14,Hard,2,0.34,stand,kaybetti
94,13,Hard,10,-0.17,hit,kaybetti
94,15,Hard,10,-0.34,hit,push
94,21,Hard,10,-0.17,stand,
95,20,Hard,7,-0.51,stand,kazandi
95,20,Hard,7,-0.51,stand,kazandi
96,5,Hard,4,0.34,hit,kazandi
96,7,Hard,4,0.51,hit,kazandi
96,15,Hard,4,0.51,stand,
96,12,Hard,4,0.51,stand,
97,11,Hard,5,0.34,double,kazandi
97,13,Hard,5,0.51,stand,kazandi
98,21,Soft,7,-0.34,stand,kazandi
98,19,Soft,7,-0.34,stand,kaybetti
99,19,Hard,5,0.17,stand,push
99,15,Hard,5,0.17,stand,kaybetti
100,13,Hard,7,0.17,hit,kaybetti
100,19,Soft,7,0.0,stand,kazandi
101,16,Hard,4,0.51,stand,kazandi
101,9,Hard,4,0.51,double,kazandi
102,14,Hard,8,0.17,hit,kaybetti
102,17,Hard,8,0.34,stand,kaybetti
102,12,Hard,8,0.34,hit,
102,18,Hard,8,0.51,stand,
103,10,Hard,10,0.17,hit,push
103,20,Hard,10,0.0,stand,kaybetti
103,16,Soft,10,0.0,stand,
104,13,Hard,9,-0.34,hit,kaybetti
104,20,Hard,9,-0.51,stand,kazandi
105,16,Hard,5,0.51,stand,kazandi
105,10,Hard,5,0.51,double,kazandi
106,14,Soft,4,0.0,stand,kaybetti
106,20,Hard,4,0.0,stand,kazandi
107,20,Hard,8,-0.17,stand,kazandi
107,14,Hard,8,-0.17,hit,kaybetti
108,18,Soft,5,0.17,stand,kaybetti
108,14,Hard,5,0.17,stand,kaybetti
109,14,Hard,K,0.0,hit,kaybetti
109,12,Hard,K,-0.17,hit,kazandi
109,20,Hard,K,-0.17,stand,
110,10,Hard,5,0.51,double,kazandi
110,9,Hard,5,0.68,double,kazandi
111,13,Hard,6,0.17,stand,kazandi
111,17,Hard,6,0.17,stand,kazandi
112,14,Hard,K,0.17,hit,kaybetti
112,10,Hard,K,0.0,hit,kazandi
112,14,Hard,K,0.17,hit,
112,19,Hard,K,0.34,stand,
113,21,Soft,10,-0.85,stand,push
113,17,Hard,10,-0.85,stand,kaybetti
114,17,Hard,3,-0.17,stand,kazandi
114,14,Hard,3,-0.17,stand,kazandi
115,20,Hard,5,-0.34,stand,kazandi
115,16,Hard,5,-0.34,stand,kazandi
116,18,Hard,6,-0.17,stand,kazandi
116,20,Hard,6,-0.17,stand,kazandi
117,12,Hard,J,0.0,hit,kaybetti
117,17,Hard,J,0.17,stand,kazandi
117,11,Hard,J,0.17,hit,
117,21,Hard,J,0.0,stand,
118,12,Hard,5,0.34,stand,kaybetti
118,16,Hard,5,0.34,stand,kaybetti
119,7,Hard,K,-0.17,hit,push
119,17,Hard,K,-0.34,stand,kaybetti
119,12,Soft,K,-0.34,hit,
119,12,Soft,K,-0.51,hit,
120,14,Hard,Q,0.0,hit,kaybetti
120,16,Hard,Q,0.17,stand,push
120,14,Hard,Q,0.17,hit,
120,20,Hard,Q,0.34,stand,
121,17,Soft,7,-0.34,stand,kazandi
121,20,Hard,7,-0.34,stand,kazandi
122,13,Hard,2,0.51,stand,kazandi
122,11,Hard,2,0.51,double,kazandi
123,8,Hard,8,0.85,hit,kaybetti
123,12,Hard,8,1.02,hit,kazandi
123,9,Hard,8,0.86,double,
124,12,Hard,Q,-0.17,hit,kaybetti
124,15,Hard,Q,0.0,hit,kaybetti
124,15,Hard,Q,-0.17,hit,
124,19,Hard,Q,0.0,stand,
125,11,Hard,9,0.0,double,kaybetti
125,16,Hard,9,0.17,hit,kaybetti
126,10,Hard,3,0.85,double,kaybetti
126,10,Hard,3,1.02,double,kaybetti
127,12,Hard,10,0.34,hit,kazandi
127,18,Hard,10,0.51,stand,kaybetti
127,4,Hard,10,0.51,hit,
127,14,Hard,10,0.34,hit,
128,20,Soft,9,-0.17,stand,kazandi
128,18,Hard,9,-0.17,stand,kaybetti
129,16,Hard,Q,0.0,stand,kaybetti
129,17,Soft,Q,0.0,stand,kaybetti
130,13,Hard,4,0.17,stand,kazandi
130,14,Hard,4,0.17,stand,kazandi
131,12,Hard,7,-0.34,hit,push
131,17,Hard,7,-0.17,stand,kazandi
131,12,Soft,7,-0.17,hit,
131,15,Soft,7,0.0,hit,
131,19,Soft,7,0.17,stand,
132,11,Hard,Q,0.17,hit,kazandi
132,21,Hard,Q,0.0,stand,kazandi
132,16,Hard,Q,0.0,stand,
133,12,Hard,9,0.17,hit,push
133,19,Hard,9,0.17,stand,kaybetti
133,6,Hard,9,0.17,hit,
133,16,Hard,9,0.0,hit,
134,21,Soft,9,-0.17,stand,kazandi
134,15,Hard,9,-0.17,hit,kaybetti
135,15,Hard,2,0.17,stand,kaybetti
135,14,Hard,2,0.17,stand,kaybetti
136,17,Hard,A,-0.68,stand,kaybetti
136,20,Hard,A,-0.68,stand,kaybetti
137,12,Hard,Q,0.0,hit,kazandi
137,14,Hard,Q,0.17,hit,push
137,21,Hard,Q,0.17,stand,
137,19,Soft,Q,0.17,stand,
138,11,Hard,4,0.34,double,kazandi
138,20,Soft,4,0.17,stand,kazandi
139,18,Hard,Q,-0.51,stand,kazandi
139,17,Hard,Q,-0.51,stand,push
140,16,Hard,7,-0.17,hit,kaybetti
140,16,Hard,7,-0.17,hit,kazandi
140,18,Hard,7,0.0,stand,
141,16,Hard,8,-0.51,hit,kaybetti
141,20,Hard,8,-0.68,stand,kazandi
142,19,Hard,3,0.51,stand,kazandi
142,6,Hard,3,0.51,hit,kazandi
142,16,Hard,3,0.34,stand,
143,8,Hard,J,-0.34,hit,kaybetti
143,18,Hard,J,-0.51,stand,kaybetti
143,20,Hard,J,-0.51,stand,
144,13,Hard,Q,0.0,hit,kazandi
144,19,Hard,Q,0.17,stand,kazandi
144,16,Hard,Q,0.17,stand,
145,12,Hard,9,0.51,hit,kaybetti
145,9,Hard,9,0.34,double,kazandi
146,13,Hard,6,-0.34,stand,kazandi
146,20,Hard,6,-0.34,stand,kazandi
147,10,Hard,K,-0.17,hit,kazandi
147,18,Hard,K,-0.17,stand,kazandi
147,21,Soft,K,-0.17,stand,
148,14,Hard,8,-0.17,hit,kazandi
148,17,Hard,8,0.0,stand,kazandi
148,20,Soft,8,0.0,stand,
149,15,Hard,3,-0.17,stand,kaybetti
149,17,Hard,3,-0.17,stand,kaybetti
150,15,Hard,7,-0.17,hit,kaybetti
150,14,Soft,7,-0.34,hit,kaybetti
150,15,Soft,7,-0.51,hit,
150,15,Soft,7,-0.69,hit,
151,17,Hard,K,-0.17,stand,kaybetti
151,15,Hard,K,-0.17,hit,kaybetti
152,12,Hard,10,0.17,hit,kaybetti
152,16,Hard,10,0.34,stand,kazandi
152,9,Hard,10,0.34,hit,
152,20,Soft,10,0.17,stand,
153,13,Soft,2,0.0,stand,kaybetti
153,20,Hard,2,0.0,stand,kazandi
154,11,Hard,10,0.0,hit,kazandi
154,21,Hard,10,-0.17,stand,push
154,18,Hard,10,-0.17,stand,
155,14,Hard,4,0.0,stand,kazandi
155,13,Hard,4,0.0,stand,kazandi
156,18,Hard,Q,-0.68,stand,kaybetti
156,19,Hard,Q,-0.68,stand,kaybetti
157,12,Hard,2,0.17,stand,kazandi
157,16,Soft,2,0.17,stand,kazandi
158,20,Hard,Q,-0.34,stand,kazandi
158,14,Hard,Q,-0.34,hit,kaybetti
159,12,Hard,7,0.17,hit,kaybetti
159,19,Hard,7,0.0,stand,kaybetti
160,8,Hard,5,0.51,hit,kaybetti
160,18,Hard,5,0.34,stand,kaybetti
160,15,Hard,5,0.34,stand,
161,15,Hard,4,0.0,stand,kaybetti
161,20,Hard,4,0.0,stand,kazandi
162,7,Hard,J,0.0,hit,kaybetti
162,16,Hard,J,0.0,stand,kazandi
162,13,Hard,J,0.0,hit,
162,21,Hard,J,0.0,stand,
163,20,Hard,J,-0.34,stand,kazandi
163,13,Hard,J,-0.34,hit,kaybetti
163,16,Hard,J,-0.17,hit,
164,15,Hard,10,0.0,hit,kazandi
164,16,Soft,10,-0.17,hit,kaybetti
164,20,Soft,10,0.0,stand,
164,16,Hard,10,0.0,stand,
165,20,Hard,A,0.0,stand,kazandi
165,10,Hard,A,0.0,hit,kazandi
165,20,Hard,A,-0.17,stand,
166,14,Hard,4,0.34,stand,kaybetti
166,19,Hard,4,0.34,stand,kazandi
167,12,Hard,J,0.17,hit,kaybetti
167,17,Hard,J,0.34,stand,kaybetti
167,14,Hard,J,0.34,hit,
167,18,Hard,J,0.51,stand,
168,14,Hard,4,0.0,stand,kazandi
168,12,Soft,4,0.0,stand,kazandi
169,12,Hard,8,-0.17,hit,kaybetti
169,13,Soft,8,-0.34,hit,kaybetti
169,16,Hard,8,-0.51,hit,
170,14,Soft,10,-0.17,hit,kaybetti
170,14,Soft,10,-0.34,hit,kaybetti
170,17,Soft,10,-0.17,stand,
170,15,Hard,10,-0.17,hit,
171,11,Hard,K,0.51,hit,kazandi
171,21,Hard,K,0.34,stand,kazandi
171,12,Hard,K,0.34,hit,
171,18,Hard,K,0.51,stand,
172,17,Soft,K,-0.34,stand,kaybetti
172,16,Hard,K,-0.34,hit,push
172,20,Hard,K,-0.17,stand,
173,20,Soft,Q,-0.17,stand,kaybetti
173,13,Hard,Q,-0.17,hit,kaybetti
173,20,Hard,Q,-0.17,stand,
174,19,Hard,2,0.17,stand,kazandi
174,12,Hard,2,0.17,stand,kazandi
175,19,Hard,J,-0.17,stand,kaybetti
175,10,Hard,J,-0.17,hit,kaybetti
175,19,Hard,J,-0.17,stand,
176,18,Hard,7,-0.34,stand,kazandi
176,12,Hard,7,-0.34,hit,kaybetti
177,10,Hard,2,0.51,double,kaybetti
177,12,Hard,2,0.68,stand,kaybetti
178,12,Hard,2,0.51,stand,kaybetti
178,11,Hard,2,0.51,double,kazandi
179,8,Hard,7,0.0,hit,kazandi
179,18,Hard,7,-0.17,stand,kazandi
179,19,Soft,7,-0.17,stand,
180,18,Soft,6,-0.17,stand,kazandi
180,16,Hard,6,-0.17,stand,kazandi
181,14,Hard,5,0.51,stand,kaybetti
181,15,Hard,5,0.51,stand,kaybetti
182,18,Hard,4,0.34,stand,kazandi
182,13,Hard,4,0.34,stand,kazandi
183,13,Soft,5,0.0,stand,kaybetti
183,20,Hard,5,0.0,stand,kazandi
184,12,Hard,3,0.51,stand,kaybetti
184,9,Hard,3,0.51,double,kazandi
185,20,Hard,2,0.0,stand,kazandi
185,11,Hard,2,0.0,double,kaybetti
186,10,Hard,A,0.17,hit,kaybetti
186,20,Hard,A,0.0,stand,kaybetti
186,4,Hard,A,0.0,hit,
186,13,Hard,A,0.0,hit,
187,10,Hard,K,-0.34,hit,push
187,20,Hard,K,-0.51,stand,kaybetti
187,19,Hard,K,-0.51,stand,
188,10,Hard,5,0.51,double,kazandi
188,12,Hard,5,0.34,stand,kazandi
189,7,Hard,J,0.0,hit,kaybetti
189,10,Hard,J,0.17,hit,kaybetti
189,16,Hard,J,0.34,stand,
189,17,Hard,J,0.34,stand,
190,10,Hard,K,0.34,hit,push
190,20,Hard,K,0.17,stand,kaybetti
190,9,Hard,K,0.17,hit,
190,19,Hard,K,0.0,stand,
191,14,Hard,Q,0.0,hit,kaybetti
191,16,Hard,Q,0.17,stand,kaybetti
191,8,Hard,Q,0.17,hit,
191,18,Hard,Q,0.0,stand,
192,16,Hard,A,-0.51,hit,kaybetti
192,17,Hard,A,-0.34,stand,kaybetti
193,15,Hard,9,-0.51,hit,kaybetti
193,20,Hard,9,-0.51,stand,kazandi
194,21,Soft,8,-0.85,stand,kazandi
194,20,Hard,8,-0.85,stand,kazandi
195,17,Hard,2,-0.17,stand,kaybetti
195,16,Soft,2,-0.17,stand,kaybetti
196,20,Soft,Q,-0.17,stand,push
196,6,Hard,Q,-0.17,hit,kaybetti
196,10,Hard,Q,0.0,hit,
196,12,Hard,Q,0.17,hit,
196,17,Hard,Q,0.34,stand,
197,9,Hard,Q,0.51,hit,kazandi
197,18,Hard,Q,0.51,stand,kazandi
197,10,Hard,Q,0.51,hit,
197,20,Hard,Q,0.34,stand,
198,9,Hard,Q,0.0,hit,kazandi
198,19,Hard,Q,-0.17,stand,kazandi
198,18,Hard,Q,-0.17,stand,
199,9,Hard,A,0.17,hit,kaybetti
199,12,Hard,A,0.34,hit,kaybetti
199,15,Hard,A,0.51,hit,
199,19,Hard,A,0.69,stand,
199,13,Hard,A,0.69,hit,
199,14,Soft,A,0.52,hit,
200,12,Hard,4,0.0,stand,kaybetti
200,20,Hard,4,0.0,stand,kazandi
201,10,Hard,8,0.0,double,kazandi
201,13,Hard,8,-0.17,hit,kaybetti
202,9,Hard,A,0.17,hit,kazandi
202,19,Hard,A,0.0,stand,kaybetti
202,14,Hard,A,0.0,hit,
203,4,Hard,4,0.34,hit,kaybetti
203,7,Hard,4,0.51,hit,kazandi
203,16,Hard,4,0.51,stand,
203,21,Soft,4,0.51,stand,
204,8,Hard,3,0.34,hit,kazandi
204,10,Hard,3,0.51,double,kazandi
204,21,Soft,3,0.51,stand,
205,12,Soft,K,-1.02,hit,kaybetti
205,13,Soft,K,-1.19,hit,kazandi
205,18,Soft,K,-1.03,stand,
205,21,Soft,K,-1.03,stand,
206,20,Hard,6,-0.34,stand,kazandi
206,19,Hard,6,-0.34,stand,kazandi
207,13,Soft,4,0.68,stand,kaybetti
207,11,Hard,4,0.68,double,kazandi
208,5,Hard,Q,-0.17,hit,kaybetti
208,16,Soft,Q,-0.34,hit,kaybetti
208,18,Soft,Q,-0.17,stand,
208,18,Hard,Q,-0.17,stand,
209,21,Soft,Q,0.0,stand,kazandi
209,6,Hard,Q,0.0,hit,kazandi
209,14,Hard,Q,0.0,hit,
209,20,Hard,Q,0.17,stand,
210,11,Hard,9,0.34,double,kazandi
210,13,Hard,9,0.51,hit,kaybetti
211,15,Soft,8,0.0,hit,kazandi
211,17,Soft,8,0.17,stand,kazandi
211,19,Hard,8,0.17,stand,
212,15,Hard,8,-0.34,hit,kaybetti
212,19,Hard,8,-0.34,stand,push
213,11,Hard,5,0.34,double,kazandi
213,14,Hard,5,0.51,stand,kazandi
214,14,Hard,10,0.17,hit,kaybetti
214,19,Hard,10,0.34,stand,kaybetti
214,10,Hard,10,0.34,hit,
214,18,Hard,10,0.34,stand,
215,20,Hard,8,-0.51,stand,kazandi
215,16,Hard,8,-0.51,hit,kazandi
215,20,Hard,8,-0.34,stand,
216,12,Hard,4,0.34,stand,kaybetti
216,16,Soft,4,0.34,stand,kaybetti
217,6,Hard,J,0.0,hit,push
217,8,Hard,J,0.17,hit,kaybetti
217,12,Hard,J,0.34,hit,
217,20,Hard,J,0.34,stand,
217,14,Hard,J,0.34,hit,
217,18,Hard,J,0.52,stand,
218,8,Hard,4,0.34,hit,kazandi
218,10,Hard,4,0.51,double,kaybetti
218,12,Hard,4,0.34,stand,
219,7,Hard,A,0.17,hit,kaybetti
219,17,Hard,A,0.0,stand,kazandi
219,13,Hard,A,0.0,hit,
219,21,Hard,A,0.0,stand,
220,12,Hard,8,0.34,hit,kaybetti
220,16,Hard,8,0.17,hit,kaybetti
221,15,Hard,2,0.17,stand,kazandi
221,10,Hard,2,0.17,double,kazandi
222,12,Hard,3,0.68,stand,kazandi
222,7,Hard,3,0.68,hit,kazandi
222,17,Hard,3,0.51,stand,
223,20,Hard,5,0.17,stand,kazandi
223,4,Hard,5,0.17,hit,kazandi
223,14,Hard,5,0.0,stand,
224,12,Hard,Q,-0.34,hit,kaybetti
224,18,Hard,Q,-0.51,stand,kaybetti
225,15,Hard,8,-0.17,hit,kazandi
225,21,Hard,8,0.0,stand,kazandi
225,21,Soft,8,0.0,stand,
226,18,Hard,4,-0.34,stand,kazandi
226,19,Hard,4,-0.34,stand,kazandi
227,17,Soft,10,0.0,stand,kaybetti
227,9,Hard,10,0.0,hit,kaybetti
227,15,Hard,10,0.17,hit,
228,20,Hard,4,0.0,stand,kazandi
228,17,Soft,4,0.0,stand,push
229,16,Hard,2,0.51,stand,kazandi
229,7,Hard,2,0.51,hit,kazandi
229,14,Hard,2,0.51,stand,
230,14,Hard,3,-0.17,stand,kazandi
230,17,Hard,3,-0.17,stand,kazandi
231,16,Hard,K,-0.51,hit,kazandi
231,21,Hard,K,-0.34,stand,kazandi
231,20,Hard,K,-0.34,stand,
232,12,Hard,9,0.0,hit,kazandi
232,19,Hard,9,0.0,stand,kaybetti
232,16,Hard,9,0.0,hit,
232,17,Soft,9,-0.17,stand,
233,5,Hard,K,-0.17,hit,kaybetti
233,11,Hard,K,0.0,hit,kazandi
233,13,Hard,K,0.17,hit,
233,21,Soft,K,0.0,stand,
234,12,Hard,A,-0.34,hit,push
234,21,Hard,A,-0.34,stand,kaybetti
234,17,Soft,A,-0.34,stand,
235,11,Hard,2,0.51,double,kazandi
235,16,Hard,2,0.34,stand,kaybetti
236,13,Hard,K,0.0,hit,kaybetti
236,20,Hard,K,0.0,stand,push
236,12,Hard,K,0.0,hit,
236,21,Hard,K,0.0,stand,
237,8,Hard,K,0.17,hit,kaybetti
237,17,Hard,K,0.17,stand,kazandi
237,13,Hard,K,0.17,hit,
237,15,Hard,K,0.34,hit,
